facilityname,facilitylatitude,facilitylongitude,flush,shower,vault
Mazama,42.865508,-122.166149,1,1,\N
Claude Lewis Sno-Park-USFS,43.063217,-122.342876,\N,\N,1
Lost Creek,42.879145,-122.037881,1,\N,\N
Hamaker,43.056641,-122.330322,\N,\N,1
Huckleberry Mountain,42.877807000000004,-122.337174,\N,\N,1
Natural Bridge -USFS,42.889648,-122.463867,\N,\N,1
Farewell Bend,42.91967800000001,-122.433105,\N,\N,\N
Scott Creek,42.884588,-121.92477199999999,\N,\N,1
Thousand Springs Sno-Park-USFS,42.913045000000004,-122.32464399999999,\N,\N,1
Union Creek,42.910277777800005,-122.45,\N,\N,1
Farewell Bend Campground,42.9162388889,-122.43533055555599,\N,\N,0
